message,label"Looking for a new shipment, send details",1
"Hi! Got a minute to catch up?",0
"Hey, how's your week been so far?",0
"Hello! What's the buzz in your corner of the universe?",0
"Hey there! How's everything in your world?",0
"Hi! Anything interesting happening lately?",0
"Fuck",1
"Shit",1
"Bitch",1
"Asshole",1
"Dick",1
"Cunt",1
"Bastard",1
"Damn",1
"Hell",1
"Pussy",1
"Wanker",1
"Prick",1
"Twat",1
"Arse",1
"Bollocks",1
"Bugger",1
"Git",1
"Knob",1
"Tosser",1
"Chode",1
"Motherfucker",1
"Shithead",1
"Douche",1
"Piss",1
"Scumbag",1
